esriid,TotPop,pctAge0_4,pctAge5_9,pctAge10_14,pctAge15_19,pctAge20_24,pctAge25_34,pctAge35_44,pctAge45_54,pctAge55_59,pctAge60_64,pctAge65_74,pctAge75_84,pctOver85,pctOver5,pctOver15,pctUnder18,pctOver18,pctOver21,pctOver25,pctOver62,pctOver65,pctMales,pctOver18Males,pctFemales,pctOver18Females,pctHispanicPop,pctNonHispWhite,pctNonHispBlack,pctNonHispAmInd,pctNonHispAsian,pctNonHispHawnPI
  ,Total population ,pctAge0_4,pctAge5_9,pctAge10_14,pctAge15_19,pctAge20_24,pctAge25_34,pctAge35_44,pctAge45_54,pctAge55_59,pctAge60_64,pctAge65_74,pctAge75_84,pctOver85,pctOver5,pctOver15,pctUnder18,pctOver18,pctOver21,pctOver25,pctOver62,pctOver65,pctMales ,pctOver18Males,pctFemales ,pctOver18Females,pctHispanicPop ,pctNonHispWhite ,pctNonHispBlack ,pctNonHispAmInd ,pctNonHispAsian ,pctNonHispHawnPI
10001,22767,2.8,4.1,3,5,13.3,23.2,15.6,11,7.3,4.1,5.2,4.2,1.2,97.2,90.1,11.7,88.3,83.1,71.7,13.1,10.5,49.9,90.6,50.1,86.1,16.5,51.8,10.8,0.4,17.9,0
10002,79894,4,4,4.4,4.9,6.5,17.3,14.7,14,6.2,6.7,7.9,6.5,3,96,87.6,15.5,84.5,81.6,76.3,21.3,17.4,48,84.4,52,84.5,26,21,6.6,0.2,43.6,0
10003,57068,2.9,1.3,1.7,10.8,11.2,27.9,14.1,9.9,5.1,4.7,5.9,3.3,1.3,97.1,94.1,7,93,80.5,72.2,13.7,10.5,47.9,92.9,52.1,93.2,7,72.5,4.2,0.3,13,0
10004,3024,3.5,3,3.5,5.4,9.3,28.5,16.6,13.4,3.7,6.5,6,0.7,0,96.5,90,15.4,84.6,84,75.4,11.2,6.7,51.4,84.6,48.6,84.7,9.1,69.7,1.7,0,18.3,0
10005,7570,3.4,2.2,2.3,0.2,13.2,51.2,17.9,7.1,1.1,0.5,0.9,0,0,96.6,92.1,8,92,91.8,78.7,1.4,0.9,47.8,89.9,52.2,93.9,6.8,70.9,3.7,0,16.3,0
10006,2950,8.4,1.9,0.9,0.7,8.9,50.3,19.8,5.4,1.9,1.7,0,0,0,91.6,88.8,11.9,88.1,88.1,79.1,0,0,44.4,91.6,55.6,85.3,8.4,68.8,3.2,0,17.9,0
10007,6748,5.6,7.4,2.9,3.8,4.2,26.7,23.4,14.1,3.3,5.2,2.1,1.2,0,94.4,84.1,18.7,81.3,78.6,76.1,4.6,3.3,56.8,79.7,43.2,83.3,8.3,63.2,6,0,16.8,0
10009,61806,2.7,3,2.7,3.9,11.2,24.6,12.6,13.2,6.3,6.4,8,3.8,1.6,97.3,91.5,11,89,85.8,76.4,17.1,13.4,45.9,86.8,54.1,90.9,25.6,49.8,5.8,0,14.9,0.2
10010,30708,3,2.7,1.5,4.4,10.8,26.2,16.2,11.5,6.3,4.8,6.7,4.3,1.6,97,92.8,7.7,92.3,86.5,77.6,15.8,12.6,47.1,92.2,52.9,92.3,10.9,65.4,5.6,0.4,15.3,0
10011,52941,4,3.1,1.6,2.8,5.5,25,19.3,13.8,5.9,5.5,8.3,3.7,1.5,96,91.3,9.8,90.2,87.4,83,16.4,13.5,50.8,90.2,49.2,90.1,9.9,72.5,3.4,0.5,10.2,0
10012,24846,3.4,1.4,2.9,2.3,10.7,30.6,13.8,10.6,4.5,7.1,7.8,3.6,1.3,96.6,92.3,8.6,91.4,89.1,79.2,16.9,12.7,52.4,90.9,47.6,92.1,6,72.1,2.3,0.1,15.1,0.2
10013,26937,5.7,3.9,3.7,4,9.5,20.4,15.3,10.7,5.4,7.8,7.7,3.5,2.3,94.3,86.7,15.4,84.6,80,73.2,18.9,13.6,48.8,82.8,51.2,86.3,6.8,51.8,3.5,0.1,33.4,0
10014,31835,3,2.4,2.2,1.7,4.3,31.5,16.9,13.7,5.4,5.8,8.5,3.5,1.2,97,92.4,8.4,91.6,90.2,86.4,16.3,13.2,50.6,91.6,49.4,91.7,6.5,84.3,1.5,0.5,5.2,0
10016,50112,4.6,1.9,2,2.4,10.6,33,12.7,10.9,4.2,5,7.1,3.9,1.7,95.4,91.5,9.3,90.7,88.3,78.5,15.2,12.7,44.9,90.8,55.1,90.6,9.3,66.5,3.8,0.2,16.4,0
10017,16278,3.1,2.1,0.9,0.7,9.6,30.1,15.2,11.8,4.6,4.6,10.3,5.4,1.8,96.9,94,6.3,93.7,93.1,83.7,19.8,17.4,45.2,92.1,54.8,95,6.9,66.3,2.7,0,22,0
10018,8062,4.2,1.4,1.4,1.8,14.7,40.4,16.5,8.4,4.4,3.3,2.6,0.8,0,95.8,93,8.1,91.9,90.1,76.5,5.2,3.5,50.7,92.5,49.3,91.2,17.8,43.7,5.3,0.2,30.9,0
10019,38752,3.1,1.3,1.7,1.7,5.5,28.2,17,13.7,7.5,5.5,7.6,5.1,2,96.9,93.9,6.9,93.1,91.8,86.8,18,14.7,48.3,94.4,51.7,91.8,16.9,62.5,4,0,14.4,0
10020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,42142,6.3,4.4,2.9,1.4,2.6,23.4,14,10.2,4.1,8.4,12.4,6.8,3.1,93.7,86.3,14.6,85.4,84.5,82.4,27.3,22.3,43.5,80.6,56.5,89.1,6.4,80.1,1.8,0.1,9.6,0.3
10022,29699,4.3,2,1.1,1.7,5.3,19.9,14.1,11.8,5.3,7,14.1,8.8,4.5,95.7,92.7,8.1,91.9,90.7,85.6,31.2,27.5,44,89.7,56,93.6,6.7,80.6,1.6,0,9.8,0
10023,60762,6.9,3.6,2.3,2.7,3.8,18.8,16.8,13.6,6.4,6,10,6.1,3.1,93.1,87.2,14,86,83.9,80.8,22.9,19.3,47.6,83.5,52.4,88.2,9.4,76.7,2.2,0,9.3,0
10024,59249,6.1,4.6,3.9,3,2.9,19.5,15.7,15.5,5.6,6.3,10.1,4.5,2.2,93.9,85.4,17,83,82.2,79.5,20.5,16.9,46.3,80.9,53.7,84.7,12.2,73.5,4.7,0.2,6.2,0
10025,97373,4.9,3.5,4,4.9,8,19.2,13,13.7,6.6,6.5,8.4,4.5,2.8,95.1,87.7,14.4,85.6,81,74.8,19.9,15.7,44.2,85.2,55.8,86,22.2,55.8,10,0.1,9.5,0
10026,38372,7.1,5,5.7,5.1,9,19.5,14.7,14.3,6.5,4,5.3,2.6,1.3,92.9,82.2,20.4,79.6,75.6,68.2,11.7,9.2,46.3,77.4,53.7,81.4,20.9,18.9,53.7,0.1,4.3,0
10027,63057,5.2,4.5,4.5,10.1,12.5,20.2,12.2,11.5,5.8,4.3,5.1,2.7,1.4,94.8,85.7,17.9,82.1,73.1,63.1,11.5,9.2,46.3,80.9,53.7,83.1,23.7,23.6,39.5,0.1,9.2,0.1
