esriid,pctHHInc0,pctHHInc10,pctHHInc15,pctHHInc25,pctHHInc35,pctHHInc50,pctHHInc75,pctHHInc100,pctHHInc150,pctHHInc200,pctNumHHEarnings,pctNumHHPubAssist,pctNumHHFoodStmp,MedianHHInc,AvgHHInc,pctFamHHs,pctFamHHInc0,pctFamHHInc10,pctFamHHInc15,pctFamHHInc25,pctFamHHInc35,pctFamHHInc50,pctFamHHInc75,pctFamHHInc100,pctFamHHInc150,pctFamHHInc200,MedianFamInc,AvgFamInc,PCI,pctFullTimeWorkersMale,pctFullTimeWorkersFemale,MedianEarningsMale,MedianEarningsFemale,pctPoor,pctPoorUnder18,pctPoor18to64,pctPoorOver65,LaborForce,pctOwnKidsU6AllPrntsWk,pctOwnKidsO6AllPrntsWk,pctNotInsuredUnder65,pctNotInsuredUnder18
  ,pctHHInc0,pctHHInc10,pctHHInc15,pctHHInc25,pctHHInc35,pctHHInc50,pctHHInc75,pctHHInc100,pctHHInc150,pctHHInc200,pctNumHHEarnings ,pctNumHHPubAssist ,pctNumHHFoodStmp ,Median household income ,Mean household income ,pctFamHHs ,pctFamHHInc0,pctFamHHInc10,pctFamHHInc15,pctFamHHInc25,pctFamHHInc35,pctFamHHInc50,pctFamHHInc75,pctFamHHInc100,pctFamHHInc150,pctFamHHInc200,Median family income ,Mean family income ,Per-capita income ,pctFullTimeWorkersMale ,pctFullTimeWorkersFemale ,Median earnings for male full-time year-round workers ,Median earnings for female full-time year-round workers ,pctPoor ,pctPoorUnder18,pctPoor18to64,pctPoorOver65,In labor force ,pctOwnKidsU6AllPrntsWk,pctOwnKidsO6AllPrntsWk,pctNotInsuredUnder65,pctNotInsuredUnder18
10001,8.00,4.10,8.80,5.30,10.70,9.50,11.20,12.30,9.60,20.50,80.50,2.00,9.80,81445.00,151316.00,30.00,3.30,3.10,11.40,2.20,8.70,11.10,17.40,8.50,8.60,25.60,90456.00,174333.00,77512.00,61.30,38.70,98297.00,75766.00,19.00,51.20,13.90,19.70,14547.00,48.00,33.70,9.60,0.10
10002,15.70,11.20,15.70,9.20,9.90,13.80,6.90,9.20,2.90,5.40,67.70,5.60,30.60,32966.00,60564.00,53.60,9.70,11.20,16.50,12.50,13.00,15.30,7.60,7.70,2.30,4.20,35062.00,58384.00,26905.00,54.80,45.20,49462.00,40836.00,27.50,35.70,24.30,32.70,38947.00,68.20,68.80,13.40,3.00
10003,6.40,2.10,6.80,4.90,6.80,12.60,11.50,15.80,12.00,21.00,84.70,0.70,3.40,97524.00,156983.00,26.80,2.60,1.50,3.00,3.50,5.40,8.90,11.40,15.10,14.30,34.30,145411.00,235158.00,79088.00,53.60,46.40,103524.00,79587.00,10.20,6.50,10.60,9.80,37390.00,61.20,57.90,7.30,3.40
10004,2.10,1.30,3.90,4.60,4.50,6.30,13.00,22.20,10.30,31.80,90.00,0.00,0.00,123409.00,181042.00,33.60,2.60,0.00,0.00,3.00,0.80,0.00,0.00,19.40,10.40,63.80,242625.00,297990.00,98020.00,53.90,46.10,103365.00,108980.00,8.60,17.20,7.40,2.00,2273.00,83.90,88.00,8.60,3.20
10005,7.60,0.80,3.70,1.70,2.00,10.80,12.50,19.50,13.50,27.90,92.50,0.00,0.00,121840.00,175864.00,25.80,0.20,0.00,0.90,0.00,0.00,2.10,11.90,22.70,14.20,47.90,196776.00,294371.00,99633.00,51.50,48.50,109536.00,71419.00,10.30,1.50,11.20,0.00,6024.00,92.90,62.40,7.60,0.00
10006,6.60,4.50,0.90,1.10,4.60,10.40,10.00,25.00,7.90,28.70,96.10,1.60,0.00,121316.00,161202.00,27.00,3.10,0.00,0.00,0.00,0.00,4.40,3.10,34.40,8.30,46.70,177300.00,213649.00,97226.00,53.30,46.70,104659.00,92273.00,8.30,0.00,9.40,,2367.00,50.70,100.00,6.00,0.00
10007,2.70,0.60,0.60,0.90,3.60,8.70,4.80,6.10,15.50,56.40,94.90,0.00,1.10,250001.00,430777.00,51.40,2.10,0.00,1.20,1.70,2.70,3.70,1.80,2.40,10.00,74.40,250001.00,582466.00,173257.00,61.40,38.60,250001.00,153533.00,3.00,1.00,3.20,11.00,3924.00,55.30,76.90,3.10,0.00
10009,11.30,7.50,9.50,7.20,8.90,12.80,12.30,14.60,7.10,8.80,76.20,4.00,16.60,61154.00,86010.00,37.90,6.40,6.60,10.40,9.90,10.50,11.50,8.40,13.90,7.90,14.40,62253.00,104943.00,44714.00,51.80,48.20,65833.00,61738.00,20.80,30.80,18.80,23.80,37023.00,72.40,65.40,12.70,5.50
10010,7.70,4.10,5.10,4.20,5.60,12.60,10.20,16.20,9.40,24.90,80.90,2.30,5.30,100763.00,150684.00,28.60,2.90,2.10,1.70,1.60,5.60,8.20,9.50,14.50,13.70,40.10,162550.00,220565.00,81938.00,50.50,49.50,113595.00,88867.00,13.50,8.60,14.30,11.80,20062.00,65.80,81.00,6.10,0.40
