esriid,TotHUs,pctOccHUs,pctOwnerOcc,pctRenterOcc,AvgOwnerHHSize,AvgRenterHHSize,pctVacantForSale,pctVacantForRent,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow,pctPersonsPerRoomMedium,pctPersonsPerRoomHigh,MedianHValue,MedianGrossRent
  ,Total housing units ,pctOccHUs ,pctOwnerOcc ,pctRenterOcc ,Average household size of owner-occupied unit ,Average household size of renter-occupied unit ,pctVacantForSale ,pctVacantForRent ,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow ,pctPersonsPerRoomMedium ,pctPersonsPerRoomHigh ,Median home value ,Median rent 
10001,12638.00,88.40,27.40,72.60,1.78,1.99,3.50,17.60,81.50,2.70,2.70,1.50,19.90,5.10,5.30,36.50,95.90,2.10,2.10,597600.00,1865.00
10002,35281.00,92.30,13.40,86.60,2.28,2.42,4.90,37.20,74.50,2.90,3.00,11.30,13.90,15.20,10.50,38.10,91.10,5.10,3.70,544900.00,863.00
10003,31228.00,88.30,31.00,69.00,1.75,1.73,3.90,27.20,71.90,2.30,3.90,5.50,16.50,11.50,5.30,51.10,96.40,1.30,2.30,863200.00,1955.00
10004,2103.00,75.10,29.20,70.80,2.08,1.83,2.30,39.80,93.50,1.30,8.30,3.10,1.30,1.20,1.80,73.40,96.70,1.80,1.50,818600.00,2001.00
10005,5114.00,80.20,13.30,86.70,2.32,1.77,9.70,41.70,99.50,7.00,5.80,6.30,3.20,7.50,3.50,45.40,89.00,2.80,8.10,1000001.00,2001.00
10006,2077.00,81.20,7.20,92.80,1.60,1.76,7.90,43.50,93.00,9.50,0.00,8.40,2.90,5.50,3.30,62.20,88.20,3.00,8.80,760100.00,2001.00
10007,3038.00,87.10,37.80,62.20,2.53,1.99,23.70,9.20,82.50,9.30,10.60,2.60,5.80,0.00,2.60,27.90,96.30,2.90,0.80,1000001.00,2001.00
10009,31364.00,95.20,7.90,92.10,2.02,2.05,3.70,48.00,74.40,3.20,3.30,5.10,9.00,11.30,28.60,34.20,96.10,2.20,1.70,685900.00,1470.00
10010,18265.00,87.70,23.90,76.10,1.61,1.77,0.00,13.40,88.20,3.00,7.30,16.30,14.60,7.00,15.20,25.60,97.40,0.50,2.10,806700.00,2001.00
