esriid,FamsWithKids,pctFamsWithKids,pctSingleFathers,pctSingleMothers,HHsWithKids,pctHHsWithKids,AvgFamSize,pctLessThan9th,pctSomeHighSchool,pctHighSchool,pctSomeCollege,pctAssociates,pctBachelors,pctGradProf,pctHighSchoolOrMore,pctBachelorsormore,pctVeteran,pctUSNative,pctBornInUS,pctOthLangEnglishLTD,pctSpanishEnglishLTD
  ,With own children under 18 years,pctFamsWithKids ,pctSingleFathers ,pctSingleMothers ,Households with one or more people under 18 years,pctHHsWithKids ,Average family size ,pctLessThan9th,pctSomeHighSchool ,pctHighSchool ,pctSomeCollege ,pctAssociates ,pctBachelors ,pctGradProf ,pctHighSchoolOrMore ,pctBachelorsormore ,pctVeteran ,pctUSNative ,pctBornInUS ,pctOthLangEnglishLTD ,pctSpanishEnglishLTD
10001,1180.00,10.60,1.20,1.70,1299.00,11.60,3.11,4.90,3.60,10.20,9.90,2.80,37.10,31.50,91.50,68.60,2.80,71.30,96.20,23.80,33.70
10002,6022.00,18.50,1.50,6.60,7004.00,21.50,3.30,23.30,11.40,20.90,9.90,4.10,20.90,9.50,65.30,30.40,2.00,57.60,89.00,59.80,35.00
10003,2369.00,8.60,0.60,1.60,2501.00,9.10,2.56,1.90,1.70,6.80,8.50,2.40,43.60,35.00,96.40,78.60,2.10,80.90,97.00,22.00,14.60
10004,212.00,13.40,0.00,1.30,217.00,13.70,2.87,0.50,0.70,3.80,10.60,2.80,43.20,38.40,98.70,81.50,3.60,73.20,98.40,15.40,30.20
10005,435.00,10.60,0.10,0.90,435.00,10.60,2.55,1.30,0.90,1.70,6.50,1.10,46.10,42.30,97.80,88.40,0.10,71.00,96.70,14.70,28.30
10006,230.00,13.60,1.40,2.80,230.00,13.60,2.65,0.00,0.40,5.40,5.40,5.10,48.20,35.60,99.60,83.70,1.80,74.30,94.30,7.80,0.00
10007,798.00,30.20,0.00,3.90,798.00,30.20,2.90,1.90,4.40,6.80,7.60,0.50,37.30,41.50,93.70,78.80,1.20,73.40,95.90,25.90,49.60
10009,3885.00,13.00,1.80,4.90,4543.00,15.20,2.96,9.00,5.90,12.80,9.70,3.50,36.40,22.80,85.10,59.20,1.90,75.70,90.90,39.90,39.20
10010,1431.00,8.90,0.30,1.60,1446.00,9.00,2.66,1.90,1.80,7.40,8.60,4.90,40.10,35.40,96.30,75.50,2.30,76.80,96.20,22.50,21.80
10011,3283.00,11.00,1.00,2.60,3370.00,11.30,2.71,2.00,2.50,6.90,7.90,3.50,39.60,37.60,95.60,77.30,2.50,80.70,96.90,25.50,29.00
10012,1190.00,9.20,0.70,0.30,1277.00,9.90,3.08,4.90,1.20,7.50,6.80,2.20,41.70,35.70,93.90,77.40,1.60,74.00,97.60,33.40,25.90
